869 ,berudu            ,cèbong
870 ,besar             ,gedhé
871 ,membesarkan       ,nggedheake
872 ,dibesarkan        ,digedhekake
873 ,besaran           ,besaran
874 ,besek             ,besek
875 ,beser             ,beser
876 ,besi              ,wesi
877 ,besi sembrani     ,wesi sembrani
878 ,membeslah         ,mbeslah
879 ,beslit            ,beslit
880 ,besok             ,sesuk
881 ,besok-besok saja  ,sesuk-sesuk wae
882 ,beset             ,beset
883 ,besuk             ,tilik
884 ,besusu            ,bengkoang
885 ,kerasan           ,betah
886 ,betapa            ,mendah
887 ,betara            ,dewa
888 ,betari            ,dewi
889 ,betina            ,wadon
890 ,betis             ,kempol
891 ,betot             ,dudut
892 ,betul             ,bener
893 ,kebetulan         ,kebeneran
894 ,sebetulnya        ,sebenere
895 ,membetulkan       ,mbenerake
896 ,biang             ,biyung
897 ,bianglala         ,layung
898 ,biar              ,ben
899 ,dibiarkan         ,dijorna
900 ,dibiarkan saja    ,jarna wae
901 ,biasa             ,lumrah
902 ,biasanya          ,biasane
903 ,kebiasaan         ,pakulinan
904 ,membiasakan       ,nglunikake
905 ,terbiasa          ,manuh
906 ,biawak            ,menyawak
907 ,biaya             ,ragad
908 ,bibi              ,bibi
909 ,bibir             ,lambe
910 ,bibit             ,winih
911 ,bicara            ,ngomong
912 ,bidadari          ,widadari
913 ,bidan             ,bidhan
914 ,membidik          ,ngincer
915 ,biduk             ,sampan
916 ,biduan            ,penyanyi
917 ,bijaksana         ,wicaksana
918 ,bijan             ,wijen
919 ,biji              ,wiji
920 ,kue bikang        ,bikang
921 ,bikin             ,gawe
922 ,membikin          ,nggawe
923 ,bikinan           ,gawean
924 ,bikir             ,prawan
925 ,biksu             ,pendhita budha
926 ,bila              ,menawi
927 ,bilah             ,wilah
928 ,bilal             ,tukang adan
929 ,bilang            ,ngomong
930 ,bilangan          ,wilangan
